"package1id","projectidentifier","itemnumber","actualawarddate","actualevaluationcompletiondate","actual_onsite","actualrfqclosingdate","actualrfqissuedate","actualsowdate","awardvalue","awardvalue_base","bopsite","budgetamount","budgetamount_base","budgetawarddifference","buybackresaletarget","contractexecuted","engineeringcontactid","engineeringcontactname","exchangerate","importsequencenumber","indigenousparticipation","indigenous_award","indigenous_award_base","leadtimeclosingtoevaluationdays","leadtimeevaluationtoawarddays","leadtimerfqissuetoclosingdays","leadtimesowtorfqissuedays","mplcode","ontarioapplicable","ontario_award","ontario_award_base","operationspackagebundle","operationspackageleadid","opspackageleadname","originalplannedawarddate","originalplannedevaluationcompleti","originalplannedrfqclosingdate","originalplannedrfqissuedate","originalplannedsowdate","plannedawarddate","packagedescription","packageidentifier","packagetype","purchaseordernumber","prerequisitedesigndeliverable","procpackageleadname","procurementpackageleadid","qualityoversightcontactid","qualityprogram","requiredatsitedate","revisedplannedawarddate","revisedplannedevaluationcompletio","revisedplannedrfqclosingdate","revisedplannedrfqissuedate","revisedplannedsowdate","standardleadtimemonths","statuscode","sole_source","statecode","subcontractorname","timezoneruleversionnumber","contracttype","utcconversiontimezonecode","versionnumber","transactioncurrencyid","owningbusinessunit","ras_original_input","Modified","packagefolderurl","comments"
"8e6978dd-168e-43d5-9f64-c604e9b6a0e5","A02180","-",,,,,,,,,"MEPI",,,,,"No",,,,,,,,"30","30","30","15",,,,,"MEPI","Jeremy Francis","Jeremy Francis","5/1/2024","4/1/2024","3/2/2024","2/1/2024","1/17/2024",,"Piping and Supports","b78b748c-7282-4a6b-b592-4f1215b464c4",,,"No","Alan Bartolo","Alan Bartolo",,"NCA-4000","6/1/2024","5/1/2024","4/1/2024","3/2/2024","2/1/2024","1/17/2024","30",,"No",,,,"Commodities Agreement",,,,,"6/1/2024","6/17/2026 4:29 PM",,
"67615ba2-795f-4245-8c24-642c294a59b0","A02180","-",,,,,,,,,"CI",,,,,"No",,,,,,,,"30","30","30","15",,,,,"NI","Jeremy Francis","Jeremy Francis","5/1/2024","4/1/2024","3/2/2024","2/1/2024","1/17/2024",,"Piping and Supports","88045752-fcf8-4914-ac35-1ac418e49005",,,"No","Alan Bartolo","Alan Bartolo",,"NCA-4000","6/1/2024","5/1/2024","4/1/2024","3/2/2024","2/1/2024","1/17/2024","30",,"No",,,,"Commodities Agreement",,,,,"6/1/2024","6/17/2026 4:30 PM",,
"004714cf-8bef-4680-b70f-8148257a3296","A02180","-",,,,,,,,,"NI",,,,,"No",,,,,,,,"30","30","30","15",,,,,"NI","Tanzeel Ahmed","Tanzeel Ahmed","1/3/2025","12/4/2024","11/4/2024","10/5/2024","9/20/2024",,"Waterproofing","020bc924-bac6-4cbf-985e-17c2ce8361ea","Subcontractors",,"No","Ziba Sattari","Ziba Sattari",,"Best Commercial","2/3/2025","1/3/2025","12/4/2024","11/4/2024","10/5/2024","9/20/2024","30",,"No",,,,"Construction Subcontract",,,,,"2/3/2025","5/21/2026 2:52 PM",,
"3bdfdd89-3af9-4091-b832-75922a613a6c","A02180","193",,,,,,,,,"NI",,,,,"No",,,,,,,,"30","30","30","15","1",,,,"NI","Rubab Shahid","Rubab Shahid","11/15/2025","10/16/2025","9/16/2025","8/17/2025","8/2/2025",,"Metal Bearings - Mudslab","b9b5ace1-3f2a-4663-9cfe-19448f1fb3c3",,,"No","Mahendra Don","Mahendra Don",,"ISO 9001:2015","12/15/2025","11/15/2025","10/16/2025","9/16/2025","8/17/2025","8/2/2025","30",,"No",,,,"Commodities Agreement",,,,,"12/15/2025","5/21/2026 2:52 PM",,
"e4efc91b-130c-427c-8876-54efc8e09025","A02180","-",,,,,,,,,"NI",,,,,"No",,,,,,,,"30","30","30","15","T31",,,,"NI","Tanzeel Ahmed","Tanzeel Ahmed","12/7/2025","11/7/2025","10/8/2025","9/8/2025","8/24/2025",,"Nitrogen Tank","47c05ed0-1eb7-4a7f-9cfc-930898745cc8","Plant Equipment",,"No","Mahendra Don","Mahendra Don",,"N299-3","1/7/2026","12/7/2025","11/7/2025","10/8/2025","9/8/2025","8/24/2025","30",,"No",,,,"Engineered Equipment",,,,,"1/7/2026","5/21/2026 2:52 PM",,
"0f1241ad-c9e7-4311-923a-f2303a69b07c","A02180","207",,,,,,,,,"NI",,,,,"No",,,,,,,,"30","30","30","15","1",,,,"NI","Tanzeel Ahmed","Tanzeel Ahmed","1/18/2026","12/19/2025","11/19/2025","10/20/2025","10/5/2025",,"Large Equipment Transporation Using SPMT","34abe639-1886-45c3-abd8-a5ce885928c8",,,"Yes","Mahendra Don","Mahendra Don",,"Best Commercial","2/18/2026","1/18/2026","12/19/2025","11/19/2025","10/20/2025","10/5/2025","30",,"No",,,,"Construction Subcontract",,,,,"2/18/2026","5/21/2026 2:52 PM",,
"f1269fa8-2583-4141-bdaa-bdb56077050e","A02180","264",,,,,,,,,"NI",,,,,"No",,,,,,,,"30","30","30","15","U72",,,,"CI","Jack Maher","Jack Maher","2/28/2026","1/29/2026","12/30/2025","11/30/2025","11/15/2025",,"Turbine Building caissons Sand Blasting","7e09a3d5-bb70-46bd-a76e-5586de629773",,,"No","Mahendra Don","Mahendra Don",,"Best Commercial","3/31/2026","2/28/2026","1/29/2026","12/30/2025","11/30/2025","11/15/2025","30",,"No",,,,"Construction Subcontract",,,,,"3/31/2026","5/21/2026 2:52 PM",,
"942488c6-b0cf-44a2-a40e-e36b38ca40d0","A02180","138",,"11/2/2025",,"9/30/2025","9/10/2025","8/30/2025",,,"NI",,,,,"No",,,,,,,,"30","30","30","15","1",,,,"NI","Rubab Shahid","Rubab Shahid","12/1/2025","11/1/2025","10/2/2025","9/2/2025","8/18/2025",,"Ventilation RB Buildling","65220516-aaa4-49b9-b898-fa9c59c36f65",,,"Yes","Mahendra Don","Mahendra Don",,"Best Commercial","1/1/2026","12/1/2025","11/1/2025","10/2/2025","9/2/2025","8/18/2025","30",,"No",,,,"Commodities Agreement",,,,,"1/1/2026","5/21/2026 2:52 PM",,
"32613364-f5db-4901-9e99-8d9d409e89cd","A02180","-",,,,,,,,,"CI",,,,,"No",,,,,,,,"30","30","30","15","R31",,,,"CI","Muhamed Maki","Muhamed Maki","4/7/2026","3/8/2026","2/6/2026","1/7/2026","12/23/2025",,"Cable and Raceway System","b0fc8ee9-ac11-4ce9-b669-ec316eba1c5c",,,"No","Ziba Sattari","Ziba Sattari",,"ISO 9001:2015","5/7/2026","4/7/2026","3/8/2026","2/6/2026","1/7/2026","12/23/2025","30",,"No",,,,"Commodities Agreement",,,,,"5/7/2026","5/21/2026 2:52 PM",,
"bb4768a2-d486-4844-adf8-fa44d8449aad","A02180","300",,,,,,,,,"CCW",,,,,"No",,,,,,,,"30","30","30","15",,,,,"CCW/Tunnel","Ernesto Martinez","Ernesto Martinez","4/15/2026","3/16/2026","2/14/2026","1/15/2026","12/31/2025",,"TBM Cooling System Control Panel","ac831195-8cf5-43b0-b1a6-17fbfe5fbcea",,,"Yes","Ziba Sattari","Ziba Sattari",,"Best Commercial","5/15/2026","4/15/2026","3/16/2026","2/14/2026","1/15/2026","12/31/2025","30",,"No",,,,"Cancelled",,,,,"5/15/2026","7/21/2026 9:40 AM",,"This requisition is cancelled."
