Title,subcontractid,projectidentifier,refnumber,changedate,description,changetype,reason,value,status,aeconref
SCO 01,61a093f7-d7d6-4562-a88d-bbeeac7bcd53,A02180,SCO 01,12/24/2025,Additional design scope,Change Order,Design Change,2078.40,Approved,001
SCO 02,61a093f7-d7d6-4562-a88d-bbeeac7bcd53,A02180,SCO 02,01/23/2026,Field variation,Change Order,Variation,1385.60,Approved,002
SCO 03,61a093f7-d7d6-4562-a88d-bbeeac7bcd53,A02180,SCO 03,02/22/2026,Pending scope gap review,Change Order,Scope Gap,866.00,Pending,003
CL-01,61a093f7-d7d6-4562-a88d-bbeeac7bcd53,A02180,CL-01,03/24/2026,Anticipated acceleration claim,Claim,Acceleration,519.60,Potential,004
CO-01,815c7599-8f8c-4b93-a1d2-155abfbab158,A02180,CO-01,07/07/2025,Approved design change,Change Order,Design Change,46784.40,Approved,001
CO-02,815c7599-8f8c-4b93-a1d2-155abfbab158,A02180,CO-02,08/06/2025,Pending variation,Change Order,Variation,31189.60,Pending,002
CD-01,815c7599-8f8c-4b93-a1d2-155abfbab158,A02180,CD-01,09/05/2025,Owner directed change,Change Directive,Scope Gap,12475.84,Approved,003
CO-01,2ce1fe3d-f7c0-464a-bc58-eb9989e3fb75,A02180,CO-01,04/12/2025,Rolled approved changes,Change Order,Variation,3000.00,Approved,001
CO-02,2ce1fe3d-f7c0-464a-bc58-eb9989e3fb75,A02180,CO-02,05/12/2025,Rejected credit claim,Change Order,Design Change,-300.00,Rejected,002
CL-01,2ce1fe3d-f7c0-464a-bc58-eb9989e3fb75,A02180,CL-01,06/11/2025,Pending acceleration claim,Claim,Acceleration,900.00,Pending,003
CO-01,eec40bdf-1731-4f26-8a8f-a773424c1aa4,A02180,CO-01,06/19/2025,Close-out scope adjustment,Change Order,Scope Gap,118000.00,Approved,001
CO-02,eec40bdf-1731-4f26-8a8f-a773424c1aa4,A02180,CO-02,07/19/2025,Credit on close-out,Change Order,Variation,-59000.00,Approved,002
SCO 01,4dbfbbd5-bb0b-495c-b8cb-7c0b56e6e34d,A02180,SCO 01,07/08/2026,Design revision,Change Order,Design Change,6370.00,Approved,001
SCO 02,4dbfbbd5-bb0b-495c-b8cb-7c0b56e6e34d,A02180,SCO 02,08/07/2026,Potential variation,Change Order,Variation,8190.00,Potential,002
SCO 03,4dbfbbd5-bb0b-495c-b8cb-7c0b56e6e34d,A02180,SCO 03,09/06/2026,Under review,Change Order,Scope Gap,3640.00,Pending,003
CO-01,9ff7aaf4-d224-400e-a743-75e1971bc915,A02180,CO-01,06/14/2026,Minor design change,Change Order,Design Change,2676.75,Approved,001
CO-02,9ff7aaf4-d224-400e-a743-75e1971bc915,A02180,CO-02,07/14/2026,Site condition variation,Change Order,Variation,5888.85,Approved,002
CL-01,9ff7aaf4-d224-400e-a743-75e1971bc915,A02180,CL-01,08/13/2026,Rejected claim,Claim,Acceleration,4282.80,Rejected,003
CO-03,9ff7aaf4-d224-400e-a743-75e1971bc915,A02180,CO-03,09/12/2026,Pending gap,Change Order,Scope Gap,3212.10,Pending,004
