"Title","categorycode","pillarcode","guidecode","sortorder"
"Years of Experience","NUCLEAR-TECH-YEARS-OF-EXPERIENCE","NUCLEAR-TECH","NUCLEAR","1"
"Technical Capability and Area of Experience","NUCLEAR-TECH-TECHNICAL-CAPABILITY-AND-AREA-OF","NUCLEAR-TECH","NUCLEAR","2"
"Specific Project Experience","NUCLEAR-TECH-SPECIFIC-PROJECT-EXPERIENCE","NUCLEAR-TECH","NUCLEAR","3"
"Indigenous Engagement","NUCLEAR-TECH-INDIGENOUS-ENGAGEMENT","NUCLEAR-TECH","NUCLEAR","4"
"Environmental Impact and Sustainability","NUCLEAR-TECH-ENVIRONMENTAL-IMPACT-AND-SUSTAIN","NUCLEAR-TECH","NUCLEAR","5"
"Claims and Contract Experience","NUCLEAR-TECH-CLAIMS-AND-CONTRACT-EXPERIENCE","NUCLEAR-TECH","NUCLEAR","6"
"Constructability Reviews","NUCLEAR-TECH-CONSTRUCTABILITY-REVIEWS","NUCLEAR-TECH","NUCLEAR","7"
"Design Management","NUCLEAR-TECH-DESIGN-MANAGEMENT","NUCLEAR-TECH","NUCLEAR","8"
"Education and Certifications","NUCLEAR-TECH-EDUCATION-AND-CERTIFICATIONS","NUCLEAR-TECH","NUCLEAR","9"
"Quality Assurance and Control","NUCLEAR-TECH-QUALITY-ASSURANCE-AND-CONTROL","NUCLEAR-TECH","NUCLEAR","10"
"Technology","NUCLEAR-TECH-TECHNOLOGY","NUCLEAR-TECH","NUCLEAR","11"
"Financial Management","NUCLEAR-TECH-FINANCIAL-MANAGEMENT","NUCLEAR-TECH","NUCLEAR","12"
"Schedule Management","NUCLEAR-TECH-SCHEDULE-MANAGEMENT","NUCLEAR-TECH","NUCLEAR","13"
"Managing Up","NUCLEAR-COMP-MANAGING-UP","NUCLEAR-COMP","NUCLEAR","1"
"Creating Positive and Inclusive Team Culture","NUCLEAR-COMP-CREATING-POSITIVE-AND-INCLUSIVE-","NUCLEAR-COMP","NUCLEAR","2"
"Building High-Performing Teams","NUCLEAR-COMP-BUILDING-HIGH-PERFORMING-TEAMS","NUCLEAR-COMP","NUCLEAR","3"
"Communication Skills","NUCLEAR-COMP-COMMUNICATION-SKILLS","NUCLEAR-COMP","NUCLEAR","4"
"Change Management","NUCLEAR-COMP-CHANGE-MANAGEMENT","NUCLEAR-COMP","NUCLEAR","5"
"Problem Solving + Innovation","NUCLEAR-COMP-PROBLEM-SOLVING-INNOVATION","NUCLEAR-COMP","NUCLEAR","6"
"Risk Management","NUCLEAR-COMP-RISK-MANAGEMENT","NUCLEAR-COMP","NUCLEAR","7"
"Commercial Acumen","NUCLEAR-COMP-COMMERCIAL-ACUMEN","NUCLEAR-COMP","NUCLEAR","8"
"Financial Acumen","NUCLEAR-COMP-FINANCIAL-ACUMEN","NUCLEAR-COMP","NUCLEAR","9"
"Relationship Building","NUCLEAR-COMP-RELATIONSHIP-BUILDING","NUCLEAR-COMP","NUCLEAR","10"
"Stakeholder Engagement","NUCLEAR-COMP-STAKEHOLDER-ENGAGEMENT","NUCLEAR-COMP","NUCLEAR","11"
"Client Focus","NUCLEAR-COMP-CLIENT-FOCUS","NUCLEAR-COMP","NUCLEAR","12"
"Resourceful and Adaptable","NUCLEAR-COMP-RESOURCEFUL-AND-ADAPTABLE","NUCLEAR-COMP","NUCLEAR","13"
"Joint Venture/Consortiun/Alliance Collaboration","NUCLEAR-COMP-JOINT-VENTURE-CONSORTIUN-ALLIANC","NUCLEAR-COMP","NUCLEAR","14"
"Collaborative","NUCLEAR-BEH-COLLABORATIVE","NUCLEAR-BEH","NUCLEAR","1"
"Transparent","NUCLEAR-BEH-TRANSPARENT","NUCLEAR-BEH","NUCLEAR","2"
"Resilient and Calm Under Pressure","NUCLEAR-BEH-RESILIENT-AND-CALM-UNDER-PRESSUR","NUCLEAR-BEH","NUCLEAR","3"
"Decisive","NUCLEAR-BEH-DECISIVE","NUCLEAR-BEH","NUCLEAR","4"
"Assertive","NUCLEAR-BEH-ASSERTIVE","NUCLEAR-BEH","NUCLEAR","5"
"Self- Aware","NUCLEAR-BEH-SELF-AWARE","NUCLEAR-BEH","NUCLEAR","6"
